ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,North West,4449345,Children overweight,8.7,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHP,104236060,I,433007,1433030,Region,North West,0,,0,1,CNNUTSCWHP,NGDHS2003433007,2003,DHS,1452,1185,,,1
NGA,South East,3511194,Children overweight,6.6,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHP,104236060,I,433008,1433040,Region,South East,0,,0,1,CNNUTSCWHP,NGDHS2003433008,2003,DHS,326,438,,,1
NGA,South West,7554416,Children overweight,6.6,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHP,104236060,I,433009,1433050,Region,South West,0,,0,1,CNNUTSCWHP,NGDHS2003433009,2003,DHS,507,565,,,1
NGA,South South,6084443,Children overweight,3.7,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHP,104236060,I,433010,1433060,Region,South South,0,,0,1,CNNUTSCWHP,NGDHS2003433010,2003,DHS,635,460,,,1
NGA,North Central,3810313,Mean weight for height of children,-0.2,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHM,104236070,I,433005,1433010,Region,North Central,0,,0,1,CNNUTSCWHM,NGDHS2003433005,2003,DHS,757,850,,,1
NGA,North East,217872,Mean weight for height of children,-0.3,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHM,104236070,I,433006,1433020,Region,North East,0,,0,1,CNNUTSCWHM,NGDHS2003433006,2003,DHS,1093,1104,,,1
NGA,North West,4449346,Mean weight for height of children,-0.2,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHM,104236070,I,433007,1433030,Region,North West,0,,0,1,CNNUTSCWHM,NGDHS2003433007,2003,DHS,1452,1185,,,1
NGA,South East,3511195,Mean weight for height of children,0.2,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHM,104236070,I,433008,1433040,Region,South East,0,,0,1,CNNUTSCWHM,NGDHS2003433008,2003,DHS,326,438,,,1
NGA,South West,7554413,Mean weight for height of children,-0.3,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHM,104236070,I,433009,1433050,Region,South West,0,,0,1,CNNUTSCWHM,NGDHS2003433009,2003,DHS,507,565,,,1
NGA,South South,6084440,Mean weight for height of children,-0.5,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHM,104236070,I,433010,1433060,Region,South South,0,,0,1,CNNUTSCWHM,NGDHS2003433010,2003,DHS,635,460,,,1
